iter	RMSE
0	14.05231031
1	13.14232047
2	12.31023441
3	11.59058964
4	10.95536937
5	10.43533789
6	9.9346575
7	9.503472774
8	9.083333747
9	8.653994453
10	8.281644282
11	7.969064798
12	7.728866699
13	7.499350698
14	7.248091601
15	7.024813157
16	6.838152482
17	6.676220074
18	6.555523876
19	6.410644104
20	6.295756326
21	6.17590385
22	6.09521141
23	6.007603839
24	5.947657095
25	5.87961977
26	5.812117039
27	5.766558916
28	5.698181808
29	5.649394375
30	5.605933514
31	5.557840361
32	5.523667688
33	5.49552612
34	5.460250804
35	5.43202678
36	5.400851117
37	5.373829126
38	5.354924007
39	5.338725855
40	5.309591146
41	5.290151159
42	5.280709105
43	5.259698358
44	5.24456553
45	5.214848096
46	5.191598429
47	5.166713337
48	5.141544373
49	5.124061045
50	5.107578104
51	5.091614588
52	5.077984569
53	5.068699011
54	5.049407491
55	5.035079187
56	5.023140132
57	5.011011285
58	5.003277564
59	4.996678757
60	4.982102812
61	4.974441296
62	4.96689182
63	4.95475885
64	4.942699529
65	4.93057914
66	4.915698246
67	4.905287929
68	4.895188711
69	4.887915663
70	4.876721678
71	4.865543605
72	4.853950208
73	4.842778998
74	4.833537353
75	4.824060297
76	4.80877835
77	4.795410959
78	4.785222897
79	4.771578688
80	4.762725249
81	4.751414881
82	4.742273474
83	4.72491317
84	4.719579877
85	4.714566722
86	4.706228759
87	4.695631622
88	4.690081971
89	4.685043514
90	4.673719348
91	4.657009966
92	4.645062891
93	4.636461895
94	4.621305314
95	4.615605451
96	4.599227811
97	4.586876958
98	4.579378518
99	4.568140421
