iter	Passed	Remaining
0	1	177
1	3	162
2	4	154
3	6	145
4	7	140
5	8	137
6	10	145
7	12	148
8	14	142
9	15	137
10	16	132
11	17	128
12	18	125
13	20	123
14	21	119
15	22	116
16	23	113
17	24	109
18	24	106
19	25	103
20	27	103
21	28	100
22	29	98
23	30	96
24	31	93
25	32	92
26	33	90
27	34	87
28	35	85
29	35	83
30	36	81
31	37	79
32	38	78
33	39	76
34	40	74
35	41	73
36	42	71
37	43	71
38	44	69
39	45	68
40	46	66
41	47	65
42	48	64
43	49	62
44	50	61
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	51
52	57	51
53	58	49
54	59	48
55	60	47
56	61	46
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	69	35
66	69	34
67	71	33
68	72	32
69	72	31
70	73	30
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	84	16
84	85	15
85	87	14
86	88	13
87	90	12
88	91	11
89	92	10
90	93	9
91	93	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	3
97	98	2
98	98	0
99	99	0
