iter	RMSE
0	14.58314172
1	14.21200737
2	13.84467757
3	13.47979742
4	13.1327169
5	12.82331575
6	12.5268287
7	12.25986599
8	12.00199996
9	11.70552373
10	11.42581264
11	11.20519346
12	10.95714455
13	10.7156721
14	10.47702266
15	10.234599
16	10.06669471
17	9.871436924
18	9.702062839
19	9.518898864
20	9.335574189
21	9.157143501
22	9.021585405
23	8.852499917
24	8.697334914
25	8.551177071
26	8.412466018
27	8.279216353
28	8.145198216
29	8.022635324
30	7.907422794
31	7.79791965
32	7.699579225
33	7.586288635
34	7.487112305
35	7.399351764
36	7.311762026
37	7.227571736
38	7.142311468
39	7.06265631
40	6.992274309
41	6.929426782
42	6.863166841
43	6.802503233
44	6.737386756
45	6.672359392
46	6.619760093
47	6.563728983
48	6.51313079
49	6.46664871
50	6.418551114
51	6.369920854
52	6.323361643
53	6.277888263
54	6.240899654
55	6.19786346
56	6.162228575
57	6.127536056
58	6.091970118
59	6.055226571
60	6.02376787
61	5.995542158
62	5.966742114
63	5.940503235
64	5.905460831
65	5.877241041
66	5.85090924
67	5.826045316
68	5.812022131
69	5.785736803
70	5.767982111
71	5.744793327
72	5.726069847
73	5.705927324
74	5.686318235
75	5.667435853
76	5.646464839
77	5.626183554
78	5.610056881
79	5.594048326
80	5.581968376
81	5.565031451
82	5.548594668
83	5.53636987
84	5.520991849
85	5.506472727
86	5.491968077
87	5.477618032
88	5.464187309
89	5.451580925
90	5.440826328
91	5.428727653
92	5.414692647
93	5.401234149
94	5.394426312
95	5.388369626
96	5.378386989
97	5.368522144
98	5.360155921
99	5.349900431
100	5.343132682
101	5.334301729
102	5.32673041
103	5.319225429
104	5.307116858
105	5.295767716
106	5.288960656
107	5.281367102
108	5.272780488
109	5.266086176
110	5.257815942
111	5.252105725
112	5.25060084
113	5.244056709
114	5.235476713
115	5.229715744
116	5.224878361
117	5.217995112
118	5.21252422
119	5.209385232
120	5.205392114
121	5.194968163
122	5.187214892
123	5.181789494
124	5.176297329
125	5.170050979
126	5.165785188
127	5.160410106
128	5.155408227
129	5.151926397
130	5.144424708
131	5.137366497
132	5.132041925
133	5.12545556
134	5.116931557
135	5.109671414
136	5.10335609
137	5.096955157
138	5.091381319
139	5.086944379
140	5.084037712
141	5.079762854
142	5.075335786
143	5.0721835
144	5.067669132
145	5.059524519
146	5.055077627
147	5.050370183
148	5.045034905
149	5.037725164
150	5.033355082
151	5.027673187
152	5.024473525
153	5.021489724
154	5.015492502
155	5.01064649
156	5.005755611
157	5.000935718
158	4.996286782
159	4.988369131
160	4.981658651
161	4.977246741
162	4.974439972
163	4.969875784
164	4.965188805
165	4.963711894
166	4.95868732
167	4.955977758
168	4.95256907
169	4.945935371
170	4.938764127
171	4.935293436
172	4.930556712
173	4.923692694
174	4.917661047
175	4.913125908
176	4.908946222
177	4.903450114
178	4.896641245
179	4.894589258
180	4.891144201
181	4.885579415
182	4.877474085
183	4.874290248
184	4.870755292
185	4.866662269
186	4.862794049
187	4.857007608
188	4.852556057
189	4.848134434
190	4.84489037
191	4.838920721
192	4.83237785
193	4.829552084
194	4.825217222
195	4.821424354
196	4.813259034
197	4.810169826
198	4.806012858
199	4.800411507
200	4.798578401
201	4.791693434
202	4.784392254
203	4.783643129
204	4.780266218
205	4.775564349
206	4.771311475
207	4.767594189
208	4.764423289
209	4.760757327
210	4.756253687
211	4.752089267
212	4.75083196
213	4.747787097
214	4.743920884
215	4.742958402
216	4.739376169
217	4.735191566
218	4.730627739
219	4.727537618
220	4.72704718
221	4.723120295
222	4.720735599
223	4.716220683
224	4.711095463
225	4.708264053
226	4.705846854
227	4.703038236
228	4.70262773
229	4.700502938
230	4.699993879
231	4.696379205
232	4.692162825
233	4.687146323
234	4.682509169
235	4.678913846
236	4.672106421
237	4.669779226
238	4.667015743
239	4.663246177
240	4.66027521
241	4.655710473
242	4.654225894
243	4.650753953
244	4.643903469
245	4.637288836
246	4.631271905
247	4.62802753
248	4.624421801
249	4.623171418
250	4.61837413
251	4.613467169
252	4.608164929
253	4.604214745
254	4.596903822
255	4.5919189
256	4.588471214
257	4.584944798
258	4.582041372
259	4.57921592
260	4.574302539
261	4.573511731
262	4.570428345
263	4.565747906
264	4.562029776
265	4.560687244
266	4.557633236
267	4.553046437
268	4.550846102
269	4.547491275
270	4.545528822
271	4.542263619
272	4.536166572
273	4.534240755
274	4.5320973
275	4.529600731
276	4.521061057
277	4.516908102
