iter	Passed	Remaining
0	48	48058
1	49	24638
2	51	17066
3	53	13389
4	56	11223
5	57	9597
6	59	8399
7	60	7491
8	61	6788
9	63	6238
10	64	5755
11	65	5358
12	66	5027
13	67	4767
14	68	4521
15	70	4309
16	70	4092
17	72	3929
18	73	3770
19	74	3636
20	75	3506
21	76	3387
22	77	3278
23	78	3178
24	79	3083
25	79	2993
26	80	2910
27	81	2838
28	82	2768
29	83	2703
30	84	2645
31	85	2595
32	86	2541
33	87	2490
34	88	2441
35	89	2395
36	90	2351
37	91	2309
38	92	2269
39	92	2231
40	93	2195
41	94	2163
42	96	2142
43	97	2115
44	98	2085
45	99	2063
46	100	2040
47	101	2010
48	102	1985
49	103	1957
50	103	1932
51	104	1909
52	105	1887
53	106	1868
54	107	1847
55	108	1828
56	109	1808
57	110	1796
58	111	1779
59	113	1771
60	114	1762
61	115	1744
62	115	1725
63	118	1726
64	118	1709
65	119	1691
66	120	1673
67	120	1655
68	121	1633
69	121	1616
70	122	1596
71	122	1580
72	123	1564
73	123	1549
74	124	1534
75	125	1524
76	126	1514
77	127	1502
78	127	1489
79	128	1476
80	128	1461
81	129	1448
82	130	1436
83	130	1425
84	131	1414
85	132	1403
86	132	1392
87	133	1384
88	134	1374
89	137	1387
90	138	1378
91	138	1367
92	139	1355
93	139	1345
94	139	1332
95	140	1321
96	140	1311
97	141	1300
98	141	1290
99	142	1280
100	142	1271
101	143	1262
102	143	1253
103	144	1244
104	144	1234
105	145	1226
106	145	1217
107	146	1208
108	146	1199
109	147	1191
110	147	1182
111	148	1174
112	148	1163
113	148	1156
114	149	1149
115	149	1141
116	150	1133
117	150	1125
118	151	1118
119	151	1110
120	151	1102
121	152	1095
122	152	1088
123	153	1083
124	154	1078
125	154	1072
126	155	1065
127	155	1059
128	156	1053
129	156	1048
130	157	1042
131	157	1037
132	158	1031
133	158	1026
134	159	1020
135	159	1014
136	160	1008
137	160	1003
138	161	997
139	161	992
140	161	986
141	162	981
142	162	976
143	163	971
144	163	965
145	164	961
146	164	956
147	165	951
148	165	946
149	166	941
150	166	936
151	167	931
152	167	927
153	167	922
154	168	918
155	168	914
156	169	909
157	170	906
158	170	901
159	171	897
160	171	893
161	172	889
162	172	886
163	173	882
164	173	878
165	173	874
166	174	870
167	174	865
168	175	862
169	175	858
170	176	854
171	176	850
172	177	846
173	177	843
174	178	839
175	178	835
176	179	832
177	179	828
178	179	825
179	180	821
180	180	818
181	181	814
182	181	811
183	182	807
184	182	804
185	183	803
186	184	800
187	184	798
188	185	795
189	185	792
190	186	789
191	186	786
192	187	783
193	187	780
194	188	777
195	188	774
196	189	771
197	189	768
198	190	765
199	190	762
200	191	759
201	191	756
202	192	753
203	192	750
